date,price,price_diff,price_pct_change,Event,Description,Category
2020-01-01,67.77,0.0,0.0,,,
2020-01-02,67.05,-0.7199999999999989,-0.010624169986719778,,,
2020-01-03,69.08,2.030000000000001,0.030275913497390006,,,
2020-01-06,70.25,1.1700000000000017,0.016936884771279637,,,
2020-01-07,68.74,-1.5100000000000051,-0.021494661921708236,,,
2020-01-08,67.31,-1.4299999999999926,-0.02080302589467553,,,
2020-01-09,66.58,-0.730000000000004,-0.010845342445401918,,,
2020-01-10,66.77,0.18999999999999773,0.0028537098227696678,,,
2020-01-13,64.14,-2.6299999999999955,-0.03938894713194541,,,
2020-01-14,64.45,0.3100000000000023,0.004833177424384161,,,
2020-01-15,63.29,-1.1600000000000037,-0.01799844840961995,,,
2020-01-16,64.63,1.3399999999999963,0.021172381102859683,,,
2020-01-17,64.05,-0.5799999999999983,-0.008974160606529447,,,
2020-01-20,64.63,0.5799999999999983,0.009055425448867949,,,
2020-01-21,63.66,-0.9699999999999989,-0.015008509979885454,,,
2020-01-22,62.11,-1.5499999999999972,-0.024348099277411217,,,
2020-01-23,61.26,-0.8500000000000014,-0.013685396876509492,,,
2020-01-24,59.34,-1.9199999999999946,-0.03134182174338873,,,
2020-01-27,58.54,-0.8000000000000043,-0.013481631277384665,,,
2020-01-28,59.37,0.8299999999999983,0.014178339596856881,,,
2020-01-29,59.46,0.09000000000000341,0.001515917129863542,,,
2020-01-30,57.72,-1.740000000000002,-0.029263370332996974,,,
2020-01-31,57.77,0.05000000000000426,0.0008662508662509172,,,
2020-02-03,54.0,-3.770000000000003,-0.06525878483642034,,,
2020-02-04,53.9,-0.10000000000000142,-0.0018518518518518823,,,
2020-02-05,55.36,1.4600000000000009,0.027087198515769906,,,
2020-02-06,55.18,-0.17999999999999972,-0.0032514450867051625,,,
2020-02-07,54.53,-0.6499999999999986,-0.011779630300833621,,,
2020-02-10,53.39,-1.1400000000000006,-0.020905923344947785,,,
2020-02-11,54.0,0.6099999999999994,0.011425360554411013,,,
2020-02-12,55.54,1.5399999999999991,0.02851851851851861,,,
2020-02-13,56.34,0.8000000000000043,0.014404033129276295,,,
2020-02-14,57.37,1.029999999999994,0.018281860134895078,,,
2020-02-17,57.83,0.46000000000000085,0.008018127941432862,,,
2020-02-18,57.35,-0.4799999999999969,-0.008300190212692349,,,
2020-02-19,59.72,2.3699999999999974,0.04132519616390584,,,
2020-02-20,59.72,0.0,0.0,,,
2020-02-21,58.6,-1.1199999999999974,-0.0187541862022772,,,
2020-02-24,56.04,-2.5600000000000023,-0.043686006825938595,,,
2020-02-25,56.71,0.6700000000000017,0.01195574589578885,,,
2020-02-26,54.96,-1.75,-0.030858755069652632,,,
2020-02-27,52.19,-2.770000000000003,-0.05040029112081523,,,
2020-02-28,51.31,-0.8799999999999955,-0.016861467714121448,,,
2020-03-02,52.52,1.2100000000000009,0.023582147729487524,,,
2020-03-03,52.24,-0.28000000000000114,-0.005331302361005319,,,
2020-03-04,51.86,-0.38000000000000256,-0.0072741194486983796,,,
2020-03-05,51.29,-0.5700000000000003,-0.010991129965291169,,,
2020-03-06,45.6,-5.689999999999998,-0.11093780464028069,,,
2020-03-09,35.33,-10.270000000000003,-0.22521929824561404,,,
